sku_id,warehouse_id,current_stock,reserved_stock,unit_cost,unit_price
SKU205,WH9,1179,50,90,116
SKU222,WH3,846,131,147,193
SKU144,WH1,834,83,993,1289
SKU169,WH12,595,5,62,76
SKU124,WH12,254,42,52,64
SKU142,WH7,160,24,672,874
SKU013,WH5,897,94,980,1274
SKU192,WH2,949,103,909,1183
SKU133,WH12,330,26,102,128
SKU043,WH4,110,18,412,534
SKU006,WH12,1078,209,613,800
SKU051,WH10,583,20,847,1096
SKU254,WH9,694,11,355,457
SKU103,WH2,1151,217,822,1071
SKU040,WH11,843,46,130,169
SKU200,WH6,288,55,359,461
SKU115,WH2,1099,35,266,347
SKU025,WH5,674,98,262,338
SKU091,WH1,768,46,648,844
SKU004,WH12,775,13,483,628
SKU045,WH13,127,23,395,517
SKU012,WH2,575,58,321,414
SKU110,WH1,1080,2,632,822
SKU229,WH13,799,106,760,984
SKU165,WH13,855,114,24,34
SKU240,WH14,534,27,723,940
SKU202,WH13,135,25,135,178
SKU179,WH15,194,12,221,290
SKU075,WH9,116,8,118,149
SKU181,WH4,160,3,120,156
SKU162,WH4,83,14,785,1022
SKU255,WH1,797,82,563,734
SKU033,WH6,662,5,701,915
SKU222,WH13,364,69,750,978
SKU251,WH3,711,20,719,934
SKU155,WH7,673,3,359,468
SKU126,WH14,872,136,768,995
SKU106,WH13,292,30,49,62
SKU107,WH5,597,23,232,301
SKU053,WH9,517,91,84,107
SKU167,WH2,695,117,890,1159
SKU205,WH1,996,61,450,581
SKU185,WH15,896,135,35,42
SKU006,WH14,222,43,654,850
SKU135,WH8,1191,67,796,1032
SKU120,WH1,274,19,122,153
SKU134,WH1,139,13,329,427
SKU003,WH3,188,35,854,1107
SKU144,WH2,951,177,19,23
SKU124,WH13,221,1,22,30
SKU072,WH12,370,62,622,811
SKU130,WH9,834,8,980,1276
SKU230,WH4,1168,48,590,763
SKU092,WH5,383,74,146,185
SKU178,WH11,637,98,556,717
SKU017,WH4,967,59,841,1095
SKU025,WH13,922,13,837,1085
SKU216,WH5,774,4,860,1122
SKU239,WH14,623,3,610,797
SKU187,WH3,138,17,305,398
SKU055,WH15,665,13,809,1048
SKU197,WH4,471,22,584,754
SKU164,WH7,714,52,625,814
SKU248,WH6,1112,178,207,269
SKU054,WH10,628,6,188,246
SKU008,WH11,603,63,509,656
SKU006,WH15,527,102,932,1209
SKU083,WH12,206,37,450,580
SKU245,WH10,1070,154,960,1243
SKU234,WH4,245,21,843,1099
SKU014,WH10,566,73,874,1136
SKU196,WH12,855,140,168,216
SKU005,WH8,265,51,705,918
SKU112,WH11,96,3,853,1104
SKU154,WH8,144,18,764,991
SKU028,WH3,843,42,292,378
SKU139,WH7,60,9,881,1145
SKU170,WH2,761,22,824,1075
SKU090,WH4,351,11,227,297
SKU134,WH12,1007,110,625,810
SKU182,WH6,1057,67,142,186
SKU100,WH6,176,27,808,1054
SKU039,WH14,1063,50,38,51
SKU226,WH6,828,150,778,1010
SKU115,WH7,469,53,992,1292
SKU080,WH13,1074,62,959,1247
SKU135,WH14,420,39,920,1195
SKU091,WH13,1018,52,146,193
SKU014,WH15,362,25,946,1226
SKU177,WH1,624,115,546,713
SKU092,WH9,124,5,395,514
SKU180,WH14,524,33,356,457
SKU216,WH13,689,107,772,1000
SKU208,WH1,713,24,976,1266
SKU069,WH3,759,87,170,216
SKU126,WH4,334,62,671,876
SKU099,WH7,205,20,58,76
SKU014,WH11,898,83,370,476
SKU050,WH2,197,21,485,632
SKU131,WH13,610,70,778,1012
SKU028,WH9,484,55,732,946
SKU229,WH14,478,92,295,385
SKU101,WH2,1092,17,778,1008
SKU111,WH15,1059,193,511,659
SKU059,WH9,163,29,687,890
SKU194,WH7,880,131,906,1179
SKU176,WH7,974,54,880,1141
SKU223,WH14,849,9,467,604
SKU013,WH10,211,32,96,125
SKU074,WH13,1081,64,322,419
SKU105,WH12,492,71,63,84
SKU218,WH1,628,50,618,805
SKU185,WH8,145,23,87,115
SKU081,WH7,863,143,461,597
SKU084,WH3,214,20,919,1195
SKU034,WH1,993,6,339,441
SKU204,WH2,200,20,156,199
SKU209,WH14,749,81,523,674
SKU211,WH5,864,147,532,695
SKU066,WH10,1072,129,716,931
SKU208,WH4,1192,139,541,702
SKU060,WH2,854,165,265,347
SKU050,WH1,1126,171,876,1136
SKU199,WH9,903,107,289,370
SKU204,WH8,763,119,68,89
SKU110,WH15,177,31,730,945
SKU221,WH1,1188,208,535,698
SKU147,WH15,601,65,246,322
SKU023,WH12,543,3,675,881
SKU183,WH2,78,12,619,805
SKU098,WH13,854,74,847,1097
SKU083,WH10,177,20,51,64
SKU010,WH2,90,5,43,50
SKU133,WH14,1047,121,597,777
SKU174,WH5,391,26,834,1084
SKU211,WH12,780,97,277,363
SKU119,WH13,870,137,694,897
SKU094,WH3,971,189,643,831
SKU076,WH9,1069,53,372,478
SKU219,WH14,868,35,380,498
SKU206,WH6,78,4,788,1026
SKU212,WH3,60,3,122,159
SKU235,WH8,793,53,107,140
SKU122,WH11,672,68,321,412
SKU025,WH15,800,147,476,615
SKU235,WH7,1007,108,491,641
SKU164,WH11,203,1,510,666
SKU027,WH7,762,39,26,28
SKU080,WH14,110,10,625,816
SKU085,WH9,74,6,812,1052
SKU115,WH3,157,11,444,577
SKU012,WH5,915,11,284,368
SKU168,WH1,1117,186,826,1068
SKU064,WH7,379,56,832,1076
SKU077,WH4,61,7,348,454
SKU046,WH4,710,80,736,955
SKU044,WH12,423,79,719,936
SKU008,WH13,515,88,277,364
SKU036,WH10,538,25,56,76
SKU251,WH7,1089,198,410,534
SKU067,WH15,1030,85,259,337
SKU204,WH5,384,6,146,186
SKU117,WH2,737,71,507,660
SKU130,WH7,643,94,999,1296
SKU070,WH12,984,145,452,591
SKU154,WH3,664,16,535,697
SKU096,WH3,1044,107,197,252
SKU023,WH15,180,25,192,250
SKU160,WH1,413,38,536,698
SKU076,WH2,546,3,358,465
SKU136,WH15,970,140,731,945
SKU204,WH9,65,12,435,561
SKU117,WH4,360,41,555,722
SKU032,WH11,1112,45,38,44
SKU017,WH5,526,61,254,333
SKU019,WH6,321,55,757,987
SKU039,WH4,315,29,930,1210
SKU049,WH3,389,4,586,756
SKU006,WH3,52,7,679,878
SKU157,WH5,373,17,967,1256
SKU035,WH3,481,64,958,1248
SKU084,WH4,448,48,898,1169
SKU164,WH14,1013,139,196,258
SKU226,WH4,110,4,948,1232
SKU124,WH2,856,62,311,406
SKU083,WH2,60,1,162,211
SKU183,WH1,613,3,580,756
SKU206,WH13,934,109,339,436
SKU082,WH9,874,168,762,994
SKU085,WH2,308,55,783,1016
SKU243,WH8,103,14,736,951
SKU078,WH14,1172,19,899,1163
SKU012,WH3,468,49,859,1111
SKU237,WH10,265,2,169,216
SKU023,WH4,830,119,902,1175
SKU069,WH5,378,67,919,1193
SKU204,WH3,1001,66,644,840
SKU085,WH12,970,75,179,235
SKU227,WH4,89,4,404,521
SKU036,WH14,1033,123,984,1279
SKU038,WH5,377,4,185,244
SKU206,WH5,963,36,325,421
SKU197,WH11,1022,80,123,161
SKU121,WH12,273,28,124,165
SKU050,WH8,1113,97,49,58
SKU214,WH7,265,18,345,450
SKU252,WH9,141,0,580,757
SKU065,WH13,830,106,566,738
SKU078,WH15,405,62,676,878
SKU223,WH12,749,6,142,188
SKU026,WH13,810,30,544,711
SKU244,WH2,721,106,446,580
SKU006,WH11,131,3,267,348
SKU237,WH12,1119,154,122,161
SKU165,WH12,66,7,232,297
SKU065,WH6,749,87,374,483
SKU230,WH11,1057,69,476,619
SKU075,WH10,635,104,233,298
SKU179,WH3,621,78,231,299
SKU066,WH2,1038,21,205,264
SKU056,WH10,533,67,740,957
SKU227,WH7,573,21,410,537
SKU142,WH1,935,21,483,629
SKU161,WH10,259,49,279,360
SKU234,WH5,812,124,469,610
SKU064,WH3,78,10,42,54
SKU002,WH7,928,78,937,1215
SKU058,WH11,508,57,992,1293
SKU090,WH1,787,28,525,677
SKU169,WH10,1172,140,498,648
SKU241,WH10,936,28,166,213
SKU224,WH9,1023,83,31,37
SKU058,WH3,898,125,757,986
SKU059,WH2,1038,20,312,404
SKU218,WH9,133,5,668,871
SKU099,WH12,619,37,536,692
SKU258,WH1,1058,24,801,1037
SKU046,WH15,541,79,548,714
SKU032,WH9,1133,173,994,1287
SKU132,WH2,569,78,36,42
SKU086,WH13,248,2,358,464
SKU089,WH5,427,2,925,1205
SKU173,WH2,783,16,903,1171
SKU038,WH6,570,37,953,1241
SKU105,WH5,1005,62,735,955
SKU172,WH8,550,1,353,460
SKU244,WH5,444,63,726,938
SKU233,WH6,121,20,283,363
SKU168,WH8,656,31,20,29
SKU008,WH14,850,101,434,566
SKU223,WH1,828,87,562,725
SKU114,WH1,637,120,55,71
SKU132,WH7,1159,91,669,864
SKU236,WH6,763,96,11,9
SKU095,WH14,850,157,938,1217
SKU077,WH7,967,102,203,263
SKU197,WH5,920,89,695,907
SKU258,WH8,192,33,115,150
SKU156,WH8,477,48,881,1142
SKU033,WH1,684,133,18,23
SKU048,WH8,1146,102,232,304
SKU094,WH9,765,7,849,1099
SKU055,WH4,1157,61,120,157
SKU153,WH4,508,83,217,280
SKU219,WH2,71,9,904,1172
SKU008,WH15,858,105,23,25
SKU018,WH13,1063,11,96,127
SKU081,WH6,171,18,576,746
SKU208,WH5,734,135,742,965
SKU012,WH13,358,54,297,383
SKU190,WH5,963,149,558,727
SKU090,WH2,922,58,652,851
SKU203,WH5,804,34,454,590
SKU112,WH9,402,6,341,438
SKU209,WH2,911,158,963,1253
SKU003,WH4,453,36,525,680
SKU103,WH14,1005,151,571,737
SKU061,WH10,996,95,626,811
