order_date,sku_id,quantity_sold,unit_price,warehouse_id,promotion_flag
2025-05-14,SKU065,2,866,WH2,True
2025-05-19,SKU136,13,1147,WH1,False
2025-04-11,SKU251,1,534,WH7,True
2025-06-11,SKU175,13,530,WH13,False
2025-03-12,SKU109,12,564,WH10,False
2025-06-02,SKU083,16,64,WH10,False
2025-02-27,SKU011,16,719,WH6,False
2025-06-28,SKU202,4,178,WH13,False
2025-06-07,SKU153,12,117,WH2,False
2025-06-21,SKU116,10,784,WH1,True
2025-03-22,SKU173,3,1171,WH2,False
2025-05-14,SKU151,4,286,WH2,False
2025-01-21,SKU245,1,1243,WH10,True
2025-04-11,SKU258,3,150,WH8,False
2025-05-14,SKU243,8,218,WH10,False
2025-06-14,SKU230,12,619,WH11,False
2025-01-28,SKU005,7,842,WH14,False
2025-03-04,SKU190,7,908,WH8,False
2025-03-27,SKU143,16,1207,WH15,False
2025-01-19,SKU078,2,1163,WH14,True
2025-03-01,SKU197,8,754,WH4,False
2025-06-09,SKU223,19,188,WH12,False
2025-02-28,SKU078,3,961,WH4,False
2025-06-06,SKU186,17,766,WH6,False
2025-02-02,SKU039,5,51,WH14,False
2025-01-25,SKU005,1,1169,WH7,True
2025-05-17,SKU008,3,566,WH14,False
2025-03-07,SKU046,15,63,WH9,False
2025-03-30,SKU227,6,775,WH14,False
2025-04-25,SKU046,5,606,WH5,False
2025-06-01,SKU141,14,1198,WH1,False
2025-02-21,SKU107,5,1153,WH7,False
2025-06-26,SKU120,19,1170,WH15,False
2025-06-27,SKU229,7,385,WH14,False
2025-04-30,SKU050,16,58,WH8,False
2025-01-06,SKU155,5,468,WH7,False
2025-02-21,SKU122,4,412,WH11,False
2025-03-08,SKU165,5,425,WH7,False
2025-03-12,SKU211,11,1152,WH13,False
2025-04-09,SKU012,7,1111,WH3,False
2025-05-29,SKU131,9,1012,WH13,True
2025-01-10,SKU142,2,629,WH1,False
2025-02-22,SKU239,2,729,WH8,False
2025-02-10,SKU037,10,761,WH7,False
2025-04-26,SKU013,13,375,WH12,False
2025-01-04,SKU018,8,127,WH13,False
2025-05-10,SKU170,16,1075,WH2,True
2025-01-24,SKU160,18,780,WH7,False
2025-02-16,SKU012,18,1183,WH1,False
2025-04-02,SKU173,18,1171,WH2,False
2025-01-26,SKU157,2,1256,WH5,True
2025-06-21,SKU051,10,348,WH1,False
2025-01-31,SKU077,15,263,WH7,False
2025-04-06,SKU226,13,1232,WH4,False
2025-05-10,SKU115,5,577,WH3,False
2025-01-14,SKU115,5,1292,WH7,False
2025-03-23,SKU093,2,1028,WH4,True
2025-04-02,SKU041,11,240,WH1,False
2025-06-13,SKU207,15,1217,WH3,False
2025-02-14,SKU019,16,1022,WH10,False
2025-05-29,SKU057,6,1232,WH14,False
2025-06-20,SKU126,9,995,WH14,False
2025-01-24,SKU204,14,199,WH2,False
2025-01-25,SKU204,6,199,WH2,False
2025-05-02,SKU051,2,1096,WH10,False
2025-04-07,SKU019,17,987,WH6,False
2025-05-24,SKU141,19,1198,WH1,True
2025-01-28,SKU240,6,940,WH14,False
2025-06-08,SKU018,14,127,WH13,False
2025-04-19,SKU233,7,363,WH6,False
2025-05-09,SKU115,9,347,WH2,False
2025-04-01,SKU081,12,597,WH7,False
2025-03-23,SKU208,16,816,WH8,False
2025-05-05,SKU204,3,840,WH3,False
2025-06-29,SKU056,19,878,WH1,False
2025-02-08,SKU049,19,289,WH13,False
2025-04-22,SKU046,16,955,WH4,False
2025-02-17,SKU206,12,1026,WH6,False
2025-05-22,SKU232,17,1111,WH5,False
2025-02-18,SKU247,8,1050,WH7,True
2025-02-22,SKU164,19,486,WH10,False
2025-05-21,SKU041,13,240,WH1,False
2025-06-15,SKU130,4,1276,WH9,False
2025-02-23,SKU237,11,216,WH10,False
2025-02-07,SKU038,12,1241,WH6,False
2025-05-19,SKU230,1,763,WH4,False
2025-02-14,SKU162,4,1022,WH4,False
2025-05-18,SKU160,1,509,WH12,True
2025-01-14,SKU006,11,907,WH1,True
2025-05-02,SKU105,12,556,WH8,False
2025-01-02,SKU151,15,286,WH2,False
2025-03-12,SKU143,16,296,WH12,False
2025-02-22,SKU124,9,30,WH13,False
2025-03-17,SKU239,5,729,WH8,True
2025-04-25,SKU037,10,761,WH7,False
2025-04-24,SKU099,19,885,WH10,False
2025-02-02,SKU164,1,258,WH14,False
2025-03-03,SKU108,13,1164,WH4,True
2025-01-17,SKU171,3,376,WH2,False
2025-05-28,SKU074,5,419,WH13,False
2025-04-18,SKU110,4,945,WH15,False
2025-01-03,SKU239,1,1271,WH5,False
2025-06-11,SKU186,3,803,WH15,False
2025-03-24,SKU142,8,667,WH9,False
2025-01-22,SKU095,7,1217,WH14,False
2025-05-22,SKU059,2,404,WH2,True
2025-02-15,SKU120,12,1258,WH3,True
2025-04-27,SKU052,17,620,WH9,True
2025-01-08,SKU045,7,517,WH13,False
2025-05-15,SKU171,11,918,WH6,True
2025-02-14,SKU013,5,651,WH8,False
2025-06-03,SKU044,15,936,WH12,False
2025-03-02,SKU035,10,329,WH8,False
2025-01-06,SKU105,19,556,WH8,False
2025-04-01,SKU070,7,591,WH12,False
2025-02-10,SKU235,12,641,WH7,False
2025-01-23,SKU103,10,1071,WH2,False
2025-02-24,SKU244,3,175,WH10,False
2025-03-01,SKU197,3,164,WH1,False
2025-03-26,SKU103,8,1071,WH2,False
2025-06-21,SKU213,7,838,WH10,False
2025-01-17,SKU132,11,864,WH7,True
2025-06-08,SKU226,7,223,WH10,False
2025-01-18,SKU110,18,391,WH11,False
2025-01-05,SKU226,6,223,WH10,False
2025-02-15,SKU171,9,376,WH2,False
2025-01-05,SKU080,6,1247,WH13,False
2025-02-08,SKU227,4,537,WH7,False
2025-04-20,SKU203,14,590,WH5,False
2025-04-18,SKU183,7,756,WH1,False
2025-03-19,SKU196,8,216,WH12,False
2025-02-05,SKU254,13,457,WH9,False
2025-02-06,SKU027,10,675,WH2,False
2025-06-03,SKU222,7,41,WH12,False
2025-02-06,SKU143,2,656,WH7,False
2025-05-31,SKU100,19,1054,WH6,False
2025-04-19,SKU165,13,425,WH7,True
