sku_id,category,subcategory,lead_time_default
SKU001,Books,Fiction,19
SKU002,Automotive,Accessories,25
SKU003,Books,Non-fiction,23
SKU004,Books,Comics,15
SKU005,Automotive,Accessories,8
SKU006,Automotive,Parts,26
SKU007,Sports,Balls,28
SKU008,Beauty,Makeup,25
SKU009,Electronics,Laptops,26
SKU010,Grocery,Snacks,14
SKU011,Home,Decor,24
SKU012,Grocery,Condiments,9
SKU013,Home,Decor,25
SKU014,Grocery,Condiments,22
SKU015,Toys,Action Figures,18
SKU016,Fashion,Jackets,13
SKU017,Garden,Tools,6
SKU018,Toys,Puzzles,11
SKU019,Automotive,Parts,7
SKU020,Electronics,Laptops,12
SKU021,Toys,Board Games,10
SKU022,Beauty,Makeup,8
SKU023,Beauty,Skincare,22
SKU024,Garden,Plants,14
SKU025,Toys,Board Games,20
SKU026,Automotive,Tools,27
SKU027,Grocery,Beverages,12
SKU028,Sports,Bats,22
SKU029,Sports,Balls,29
SKU030,Grocery,Snacks,19
SKU031,Electronics,Smartphones,11
SKU032,Grocery,Snacks,16
SKU033,Automotive,Parts,15
SKU034,Home,Kettles,12
SKU035,Home,Decor,5
SKU036,Sports,Balls,11
SKU037,Garden,Tools,11
SKU038,Grocery,Beverages,5
SKU039,Books,Comics,28
SKU040,Sports,Gloves,16
SKU041,Automotive,Tools,7
SKU042,Electronics,Tablets,9
SKU043,Home,Kettles,9
SKU044,Garden,Decor,18
SKU045,Books,Comics,13
SKU046,Garden,Plants,17
SKU047,Home,Decor,11
SKU048,Electronics,Smartphones,8
SKU049,Sports,Gloves,11
SKU050,Toys,Action Figures,11
SKU051,Home,Furniture,6
SKU052,Garden,Tools,29
SKU053,Sports,Balls,16
SKU054,Toys,Board Games,15
SKU055,Garden,Decor,29
SKU056,Books,Non-fiction,5
SKU057,Electronics,Smartphones,29
SKU058,Toys,Action Figures,13
SKU059,Home,Decor,10
SKU060,Automotive,Parts,13
SKU061,Sports,Bats,23
SKU062,Garden,Decor,26
SKU063,Automotive,Accessories,24
SKU064,Electronics,Laptops,21
SKU065,Garden,Plants,11
SKU066,Fashion,Shirts,21
SKU067,Sports,Bats,28
SKU068,Electronics,Tablets,21
SKU069,Fashion,Jackets,26
SKU070,Books,Fiction,5
SKU071,Electronics,Tablets,6
SKU072,Sports,Balls,10
SKU073,Books,Comics,15
SKU074,Automotive,Parts,21
SKU075,Beauty,Skincare,24
SKU076,Fashion,Jackets,26
SKU077,Electronics,Smartphones,10
SKU078,Home,Decor,8
SKU079,Home,Furniture,7
SKU080,Home,Decor,24
SKU081,Grocery,Snacks,12
SKU082,Books,Non-fiction,12
SKU083,Electronics,Tablets,29
SKU084,Grocery,Beverages,27
SKU085,Garden,Decor,11
SKU086,Garden,Tools,24
SKU087,Electronics,Laptops,5
SKU088,Sports,Bats,27
SKU089,Grocery,Snacks,7
SKU090,Home,Decor,24
SKU091,Automotive,Tools,28
SKU092,Electronics,Tablets,21
SKU093,Automotive,Tools,12
SKU094,Toys,Board Games,7
SKU095,Grocery,Condiments,29
SKU096,Fashion,Jackets,22
SKU097,Fashion,Jackets,7
SKU098,Grocery,Snacks,8
SKU099,Electronics,Laptops,25
SKU100,Toys,Puzzles,7
SKU101,Electronics,Smartphones,20
SKU102,Home,Furniture,27
SKU103,Beauty,Makeup,10
SKU104,Beauty,Skincare,23
SKU105,Beauty,Perfume,6
SKU106,Sports,Balls,5
SKU107,Electronics,Smartphones,20
SKU108,Home,Decor,21
SKU109,Electronics,Laptops,18
SKU110,Sports,Balls,7
SKU111,Grocery,Snacks,28
SKU112,Electronics,Laptops,25
SKU113,Home,Kettles,24
SKU114,Sports,Gloves,5
SKU115,Home,Furniture,29
SKU116,Garden,Decor,26
SKU117,Garden,Decor,12
SKU118,Automotive,Tools,19
SKU119,Beauty,Perfume,6
SKU120,Garden,Plants,30
SKU121,Electronics,Smartphones,13
SKU122,Beauty,Perfume,14
SKU123,Books,Non-fiction,7
SKU124,Fashion,Shoes,28
SKU125,Garden,Decor,29
SKU126,Toys,Action Figures,24
SKU127,Electronics,Laptops,20
SKU128,Home,Decor,19
SKU129,Fashion,Jackets,27
SKU130,Beauty,Perfume,29
SKU131,Garden,Decor,26
SKU132,Garden,Plants,26
SKU133,Electronics,Laptops,10
SKU134,Beauty,Perfume,9
SKU135,Electronics,Smartphones,16
SKU136,Sports,Gloves,8
SKU137,Beauty,Skincare,24
