sku_id,supplier_id
SKU001,SUP009
SKU002,SUP010
SKU002,SUP015
SKU002,SUP005
SKU002,SUP009
SKU002,SUP013
SKU003,SUP013
SKU003,SUP004
SKU003,SUP001
SKU003,SUP009
SKU003,SUP005
SKU004,SUP010
SKU005,SUP005
SKU005,SUP007
SKU006,SUP010
SKU006,SUP006
SKU006,SUP005
SKU006,SUP004
SKU007,SUP003
SKU008,SUP008
SKU009,SUP012
SKU009,SUP004
SKU009,SUP010
SKU010,SUP002
SKU010,SUP010
SKU011,SUP008
SKU012,SUP011
SKU012,SUP015
SKU013,SUP014
SKU013,SUP013
SKU013,SUP005
SKU014,SUP002
SKU014,SUP013
SKU014,SUP007
SKU014,SUP010
SKU015,SUP003
SKU015,SUP007
SKU016,SUP011
SKU017,SUP009
SKU018,SUP002
SKU018,SUP008
SKU018,SUP014
SKU018,SUP011
SKU018,SUP005
SKU019,SUP002
SKU019,SUP012
SKU019,SUP013
SKU019,SUP004
SKU020,SUP006
SKU021,SUP015
SKU021,SUP004
SKU021,SUP005
SKU021,SUP012
SKU022,SUP002
SKU022,SUP015
SKU022,SUP003
SKU022,SUP009
SKU022,SUP013
SKU023,SUP006
SKU024,SUP001
SKU024,SUP003
SKU025,SUP009
SKU025,SUP012
SKU025,SUP004
SKU025,SUP007
SKU025,SUP002
SKU026,SUP011
SKU026,SUP015
SKU026,SUP007
SKU026,SUP002
SKU027,SUP009
SKU027,SUP013
SKU028,SUP015
SKU028,SUP014
SKU028,SUP009
SKU028,SUP006
SKU028,SUP005
SKU029,SUP007
SKU029,SUP011
SKU030,SUP011
SKU031,SUP009
SKU032,SUP003
SKU033,SUP014
SKU033,SUP003
SKU033,SUP006
SKU033,SUP004
SKU034,SUP007
SKU034,SUP012
SKU034,SUP010
SKU034,SUP001
SKU034,SUP006
SKU035,SUP003
SKU035,SUP015
SKU036,SUP002
SKU036,SUP015
SKU036,SUP008
SKU037,SUP012
SKU037,SUP006
SKU037,SUP009
SKU037,SUP011
SKU038,SUP007
SKU038,SUP008
SKU038,SUP003
SKU038,SUP004
SKU038,SUP002
SKU039,SUP002
SKU039,SUP008
SKU039,SUP009
SKU039,SUP005
SKU039,SUP001
SKU040,SUP013
SKU040,SUP001
SKU041,SUP005
SKU041,SUP004
SKU041,SUP009
SKU041,SUP003
SKU041,SUP015
SKU042,SUP002
SKU043,SUP004
SKU043,SUP015
SKU044,SUP002
SKU044,SUP012
SKU044,SUP008
SKU044,SUP015
SKU044,SUP010
SKU045,SUP009
SKU046,SUP015
SKU047,SUP001
SKU048,SUP004
SKU048,SUP014
SKU048,SUP001
SKU049,SUP003
SKU049,SUP007
SKU049,SUP009
SKU049,SUP002
SKU050,SUP008
SKU050,SUP007
SKU050,SUP012
SKU051,SUP003
SKU051,SUP012
SKU051,SUP011
SKU052,SUP011
SKU052,SUP014
SKU053,SUP004
SKU053,SUP007
SKU053,SUP005
SKU054,SUP014
SKU054,SUP001
SKU054,SUP010
SKU054,SUP008
SKU055,SUP008
SKU055,SUP007
SKU055,SUP012
SKU056,SUP007
SKU056,SUP012
SKU056,SUP010
SKU056,SUP014
SKU056,SUP001
SKU057,SUP006
SKU057,SUP010
SKU057,SUP014
SKU057,SUP008
SKU057,SUP005
SKU058,SUP012
SKU059,SUP012
SKU059,SUP004
SKU059,SUP006
SKU059,SUP005
SKU059,SUP002
SKU060,SUP012
SKU061,SUP012
SKU062,SUP015
SKU062,SUP002
SKU062,SUP012
SKU063,SUP015
SKU063,SUP012
SKU063,SUP001
SKU063,SUP003
SKU063,SUP007
SKU064,SUP012
SKU064,SUP001
SKU064,SUP008
SKU064,SUP014
SKU065,SUP003
SKU065,SUP004
SKU065,SUP012
SKU066,SUP010
SKU066,SUP009
SKU066,SUP002
SKU067,SUP003
SKU068,SUP015
SKU068,SUP004
SKU069,SUP002
SKU070,SUP003
SKU071,SUP006
SKU071,SUP008
SKU071,SUP005
SKU072,SUP007
SKU072,SUP004
SKU072,SUP005
SKU073,SUP009
SKU074,SUP009
SKU074,SUP008
SKU075,SUP012
SKU076,SUP010
SKU077,SUP005
SKU077,SUP013
SKU077,SUP001
SKU077,SUP010
SKU077,SUP004
SKU078,SUP014
SKU078,SUP003
SKU078,SUP011
SKU078,SUP007
SKU079,SUP001
SKU079,SUP002
SKU080,SUP003
SKU080,SUP010
SKU080,SUP006
SKU081,SUP012
SKU081,SUP002
SKU082,SUP009
SKU083,SUP007
SKU083,SUP015
SKU084,SUP007
SKU084,SUP008
SKU084,SUP014
SKU084,SUP005
SKU085,SUP011
SKU086,SUP002
SKU086,SUP013
SKU086,SUP003
SKU086,SUP009
SKU087,SUP001
SKU087,SUP003
SKU087,SUP004
SKU087,SUP013
SKU087,SUP015
SKU088,SUP002
SKU088,SUP012
SKU088,SUP010
SKU089,SUP010
SKU089,SUP004
SKU089,SUP009
SKU089,SUP001
SKU090,SUP002
SKU090,SUP008
SKU090,SUP007
SKU091,SUP005
SKU091,SUP014
SKU092,SUP013
SKU092,SUP009
SKU092,SUP014
SKU093,SUP010
SKU093,SUP015
SKU093,SUP009
SKU094,SUP005
SKU094,SUP011
SKU094,SUP002
SKU095,SUP009
SKU095,SUP006
SKU096,SUP013
SKU096,SUP011
SKU096,SUP007
SKU097,SUP002
SKU097,SUP009
SKU097,SUP011
SKU097,SUP005
SKU098,SUP014
SKU098,SUP013
SKU098,SUP010
SKU099,SUP008
SKU099,SUP003
SKU099,SUP006
SKU099,SUP010
SKU099,SUP002
SKU100,SUP005
SKU100,SUP013
SKU100,SUP001
SKU101,SUP013
SKU101,SUP001
SKU101,SUP004
SKU102,SUP011
SKU102,SUP015
SKU102,SUP008
SKU102,SUP003
SKU103,SUP002
SKU103,SUP012
SKU103,SUP009
SKU103,SUP013
SKU104,SUP014
SKU104,SUP004
SKU105,SUP006
SKU105,SUP013
SKU106,SUP014
SKU106,SUP005
SKU106,SUP011
SKU106,SUP001
SKU107,SUP015
SKU107,SUP007
SKU107,SUP010
SKU107,SUP012
SKU107,SUP008
SKU108,SUP001
SKU109,SUP012
SKU109,SUP005
SKU109,SUP010
SKU109,SUP001
SKU109,SUP004
SKU110,SUP002
SKU110,SUP003
SKU110,SUP010
SKU110,SUP001
SKU110,SUP011
SKU111,SUP010
SKU111,SUP003
SKU112,SUP006
SKU112,SUP002
SKU113,SUP011
SKU113,SUP006
SKU114,SUP002
SKU114,SUP013
SKU114,SUP003
SKU114,SUP008
SKU115,SUP005
SKU115,SUP007
SKU116,SUP004
SKU116,SUP003
SKU116,SUP013
SKU117,SUP007
SKU117,SUP013
SKU117,SUP004
SKU118,SUP014
SKU118,SUP015
